giornalista,,chi scrive articoli sul quotidiano / cos'è Bruno Vespa,"""giornale"" non se puede",,
iliade,,cos'è non odissea,,,
hockey,,cos'è calcio/sport su ghiaccio,,,
letterina,,cos'è piccolina dell'alfabeto,,,
leva,,cosa solleva mondo,,,
materie,,cosa sono matematica geografia  generiche,,,
francobollo,,cosa attacchi/applichi sulla lettera,,,
servizio,battuta tennis,cos'è battuta del tennis,naaaaa non si passa,,
mese,,"cos'è marzo, aprile singolare",,,
resto,,cos'è l'avanzo della divisione,diobono non lo ricorderò mai,,
colori,,cosa sono rosso giallo generici,,,
chiave,,cosa metti nella serratura,,,
passivo,,cos'è non attivo,,,
classe,,cos'è quinta b a scuola,,,
marea,venditti - luna,cos'è alta per venditti / cosa influenza la luna singolare,,,
alpi,,cos'è non appennino,,,
sufficiente,,cos'è buono meno 1,"rischio ""sufficienza""",,
nuora,,chi non è genero,,,
manopola,,PASSO,,,
borsone,,quale valigia grande da palestra,,,
lavastoviglie,,quale elettrodomestico sciaqua posate piatti,"""lava"" non se puede",,
colombo,,chi è cristoforo navigatore,,,
criceto,,quale roditore domestico,,,
paura,,cosa fa 90 / cos'è timore terrore sinonimo,,,
dolcetto,scherzetto,cos'è non scherzetto,,,
risata,,cos'è contagiosa allegria,"qui mega PASSO, troppo difficile",,
sottile,,PASSO,,,
antiquario,,chi vende mobili vecchi ricercati,temo che antichi non si possa dire,,
attaccare,difendere,cos'è non difendere,,,
contadino,,cos'è mezzadro / coltivatore,,,
tappa,,cos'è frazione giro d'italia?,,,
zorro,,quael spadaccino mascherato,,,
verona,,quale città con arena veneta,,,
calze,,cosa sono collant generiche,,,
vegetale,animale,cos'è non animale ,,,
vigile,,cos'è urbano all'incrocio con paletta,,,
vespa,,cos'è non ape,,,
università,,quale scuola dopo superiori,,,
vernice,,cosa applica imbianchino,,,
starnuto,,cos'è ecci / cos'è non colpo tosse,,,
versailles,,quale reggia francese,,,
traguardo,,cos'è linea d'arrivo ciclistica,,,
camino,,quale ingresso babbo natale / cos'è comignolo,,,
discesa,,cos'è non salita,,,
tirreno,,cosa non adriatico ionio,,,
treno,,cosa corre sui binari,,,
vetrina,,dove esponi manichini / cos'è non plastichina,,,
viaggio,,quale gita di nozze?,,,
triangolo,,cos'è isoscele,,,
statale,,quale sopra regionale,,,
strega,,cos'è maga cattiva,,,
rettilineo,curva,cos'è non curva nella pista,,,
ginnastica,,"cos'è artistica, ritmica",,,
zia,,cos'è sorella di mamma,,,
telefono,,cosa squilla in casa,,,
inferno,,cos'è non paradiso,,,
liguria,,dov'è genova,,,
arca,,cos'è di noè,(non fava),,
lentiggini,,cosa sono macchioline sul viso,,,
fantasma,,cos'è casper,,,
artigli,,quali unghie del drago,,,
cerimonia,,"cos'è del matrimonio, battesimo generica",,,
colbacco,,quale cappello russo,,,
registratore,,quale dispositivo cattura suoni,pesante PASSO,,
piume,,cosa sono d'oca nella coperta,,,
sparecchiare,,cos'è togliere piatti da tavolo,,,
guardaroba,,dove lasci giaccone in discoteca / quale sinonimo armadio,,,
noce,,cos'è moscata,la indovinammo così,,
flipper,,quale gioco tilta/con tilt,,,
barba,,cos'è non baffi,,,
intimo,,quale completo mutande canottiera,(reggiseno potrebbe essere inteso come biikini),,
argento,,cosa non è oro,,,
tramonto,,cosa non è alba,,,
arianna,,PASSO,,,
guinzaglio,,quale corda per cani generico,,,
ponte,,cos'è di brooklin,,,
braccialetto,,cos'è piccoletto sul polso,,,
raggio,diametro,cos'è metà diametro,,,
sorpresa,inaspettata,quale festa inaspettata?,,,
inizio,fine,cos'è non fine,,,
rana,rospo,cos'è non rospo,,,
focaccia,schiacciata,cos'è è schiacciata ligure/genovese,,,
canottiera,Colombo,cos'è maglietta smanicata estiva,,,
punizione,Rigore,cos'è non rigore,,,
bilancia,peso,cosa pesa persone,,,
fotografia,pittura,cosa scatti panoramica completa? ,,,
moglie,marito,cos'è non marito,,,
affitto,compravendita,cos'è locazione sinonimo,,,
ovest,occidente,cos'è non est / cos'è occidente,,,
cintura,bretelle,cosa non è bretelle,,,
complesso,semplice,cosa non è semplice,,,
elica,girare-barca,cosa gira nella barca / cosa gira nel biplano,,,
spremuta,bere agrumi,cosa bevi di agrumi,,,
astrologo,oroscopo,Chi fa l'oroscopo,,,
spumante,champagne,cosa non è champagne prosecco,,,
falso,vero,cos'è non vero,,,
area,perimetro,cos'è non perimetro,,,
vocabolario,dizionario,cos'è dizionario sinonimo,,,
ritorno,andata,cos'è non andata,,,
quadrimestre,,quale periodo di anno scolastico,,,
romolo,remo,chi è non remo,,,
smartphone,videochiamata,cos'è cellulare non stupido inglese,,,
mai,sempre,cos'è non sempre,,,
pareggio,1 punto,cosa assegna un punto / cos'è non vittoria sconfitta,,,
spugna,,cosa getti per arrenderti,,,
maglione,pullover,cosa è pullover,,,
fionda,golia,quale arma usò Davide / quale arma con elastico,,,
bruco,farfalla,quale larva di farfalla non baco,,,
carrozziere,mannelli,chi ripara ammaccature auto,,,
frisbee,boomerang,cosa non è boomerang,,,
minestrone,verdure,cosa è di verdure,,,
sorridere,felicità,cos'è felicità espressa PASSO,,,
interrogazione,lavagna,cosa fai alla lavagna orale,,,
pompei,ercolano,cosa non è ercolano,,,
senape,mostarda,cos'è non mostarda,,,
lattina,alluminio,cos'è contenitore alluminio piccolina bibite,,,
vite,chiodo,cosa non è chiodo,,,
sms,testo,cos'è testo cellulare (acronimo),,,
moda,tradizione,cosa non è tradizione,cos'è trend nel vestire/cos'è di tendenza,,
lavatrice,,cos'è non asciugatrice,,,
asterisco,cancelletto,cos'è non cancelletto,,,
corrente,elettrica,cos'è elettrica non tensione,,,
aria,respiriamo,cosa respiriamo generica,rischio ossigeno,,
diurno,notturno,cosa non è notturno,,,
piccante,salamino/peperoncino,com'è salamino/peperoncino,,,
classifica,merito,cos'è dei marcatori,,,
sindaco,capo città,chi è capo città / primo cittadino,,,
pechino,capitale cina,quale capitale cinese,,,
brace,fuoco spento,cos'è fuoco spento,,,
brizzolato,capelli grigi,cos'è capelli grigi maschile,,,
notaio,legalizza documenti,chi legalizza documenti / chi rogita,,,
re,DO,quale nota dopo do,,,
geografia,storia,cos'è non storia filosofia,,,
negozio,bottega,cos'è bottega,uscio tutta la vita,,
lancio,cross,quale disciplina del giavellotto?,,,
pecora,animale lana,quale animale lanoso/con lana,,,
balsamo,shampoo,cos'è non shampoo,,,
cugina,figlia zio,chi è figlia di zia,,,
mostra,esposizione,cos'è esposizione di quadri galleria,,,
puntini,sequenza cerchi,cosa sono di sospensione piccolini,,,
perizoma,tanga,cos'è non tanga,,,
guscio,protegge uovo,cosa protegge uovo,,,
bacchette,batterista,cosa usa batterista/ quali posate cinesi,,,
passeggero,guidatore,chi non è guidatore,,,
liquido,stato acqua,cos'è non solido gassoso,,,
scarso,Bravo?,cos'è non abbondante ,,,
lucia,renzo,chi non è renzo,,,
apparenza,sostanza,cosa non è sostanza che inganna,,,
pranzare,cenare,cosa non è cenare,,,
narici,fori naso,quali fori naso,,,
terra,aria,quale nome pianeta,aria terra,acqua fuoco,
volpe,uva,chi non arriva uva,,,
conto,,cos'è corrente in banca,,,
polso,indossare orologio,dove indossi orologio,,,
bollo,tassa auto,quale tassa auto,,,
botanica,scienza piante,quale scienza studia piante,,,
cucito,ago ,cos'è non taglio,,,
cubo,quadrato tridimensionale,Cos'è quadrato solido,,,
apostoli,amici gesù,Chi sono amici gesù,,,
manicure,smalto,Quale trattamento smalto,nave barca,,
barca,nave,cosa non nave,,,
anagrafe,ufficio nascite,quale ufficio registra nascite,,,
cronaca,racconto eventi,Cos'è racconto eventi giornalistico,,,
brancaleone,armata scarsa,quale armata da norcia,,,
conservatorio,studi musica,dove studi musica,,,
interiore,esteriore,cosa non esteriore,interiore esteriore,,
replica,ripetizione trasmissione,Cos'è ripetizione trasmissione tv,,,
capitano,maldini - zanetti,Cos'è zanetti/maldini,,,
binari,treno,cosa sono rotaie?,,,
olfatto,senso odori,Quale senso odori,,,
lido,Tarquinia paese,cos'è di camaiore,,,
distante,lontano,Quale sinonimo lontano,,,
ciliegie,frutto rosso nocciolo,cos'è non amarene,,,
perdente,vicnente,chi non è vincente,,,
rotta,segue nave,cosa segue nave,,,
bicchiere,acqua tavola,dove versi acqua a tavola,,,
tela,quadro,dove dipingi quadro,,,
curva,rettilineo,cosa non rettilineo,,,
attila,flagello di dio,quale flagello di dio,,,
ingresso,uscita,cos'è non uscita,ingresso uscita,,
madrid,,quale capitale spagnola,,,
lungo,corto,cosa non è corto,,,
cielo,nuvole,dove stano nuvole,,,
mammiferi,allattano,quali animali allattano,,,
prima,ultima,cosa non è ultima,,,
paletta,secchiello,cosa va con secchiello,paletta secchiello,,
cancelleria,materiale ufficio,cosa è materiale per ufficio,,,
briglie,sterzo cavallo,Cos'è sterzo per cavallo,,,
pompelmo,arancia amara,quale arancia amara,,,
balia,spilla,quale spilla bambino,,,
attaccapanni,appendi giubbotto,dove appendi giubbotto,,,
ascoltare,sentire,quale sinonimo sentire,,,
corallina,barriera mare,quale barriera mare,,,
manichino,modello vetrina,quale modello in vetrina,,,
leccalecca,caramella stecco,quale caramella stecco,,,
guanti,bonfiglioli,Cosa aveva bonfiglioli dietro,,,
corsa,maratona,Cos'è maratona,,,
specchio,riflette immagine,cosa riflette immagine,,,
ventiquattro,ore giorno,quante ore giorno,,,
punta,estremità acuminata,cos'è estremità acuminata,,,
gioielli,accessori preziosi,cosa sono accessori preziosi,,,
bistecca,costa manzo,cos'è costata di manzo,,,
giocattoli,oggetti divertimento,quali oggetti divertimento bambini,,,
bagnato,asciutto,cos'è non asciutto,,,
olanda,tulipani,quale nazione dei tulipani,,,
ieri,oggi - 1,cos'è oggi meno uno,,,
cerchio,superficie circonferenza,cos'è superficie circonferenza,,,
bacheca,affiggi annunci,dove affiggi annunci,,,
atalanta,squadra bergamo,quale squadra bergamo,,,
fascia,capitano,cosa mette capitano braccio,,,
pineta,foresta mare,cos'è foresta al mare,,,
bassotti,banda topolino,quale banda topolino,,,
oculista,medico vista,quale medico vista,,,
duro,grano farina,quale grano farina,,,
archimede,pitagorico,chi è pitagorico,,,
autunnale,primaverile,cos'è non primaverile,,,
cipolline,aglietti,cos'è non aglietti,,,
felpa,maglia cappuccio,cos'è maglia con cappuccio,,,
battipanni,PASSO,,,,
parata,2 giugno,cosa fanno 2 giugno,,,
verde,erba ,quale colore erba,,,
,,,,,
pubblicità,reclame,Cos'è reclame,,,
angelo,diavolo,cos'è non diavolo,angelo diavolo,,
centenario,99enne,chi è 99enne più uno,,,
peperone,ortaggio romanista,quale ortaggio romanista (giallo rosso),,,
museruola,dispositivo morso cane,quale dispositivo morso cane,,,
scirocco,vento caldo fon,quale vento caldo fon,,,
spada,excalibur,cos'è excalibur,,,
centimetro,10 volte millimetro,Cos'è 10 volte un millimetro,,,
tiramisù,mascarpone,quale dolce con mascarpone (pavesini),,,
ozono,bucato atmosfera,Cos'è bucato nell'atmosfera,,,
petali,fiore,cosa compone fiore,,,
pennarello,disegnare indelebile,Quale strumento per disegnare indelebile,,,
pitagora,teorema triangolo,Quale famoso teorema triangolo,,,
parole,compongono frasi,Quali elementi compongono frasi,,,
scuola,istruzione primaria,Quale luogo istruzione primaria,,,
sottotitoli,777 televideo,Cos'è pagina 777 televideo,,,
data,,Cosa indica giorno mese anno,,,
adriatico,tirreno,cosa non è tirreno,adriatico tirreno,,
aiuola,calpestare,Cosa non calpestare,,,
scoiattolo,cip ciop,Cos'è cip ciop,,,
sorteggio,estrazione casuale,Cos'è estrazione casuale champions (league),,,
anniversario,ricorrenza 365,Cos'è ricorrenza ogni 365 giorni,,,
cartoleria,compri penne,Dove compri penne (diario quaderni),,,
campanella,suona intervallo,Cosa suona all'intervallo,,,
agrumi,limoni arance pompelmi,Cosa sono limoni arance pompelmi,,,
pedone,pezzo minore scacchi,Quale pezzo minore scacchi,,,
vergine,veronica,quale segno veronica,,,
formaggio,prodotto casseario generico,cos'è prodotto caseario generico,,,
sushi,mangi giappone,Cosa mangi in giappone,,,
cinquanta ,metà 100,Cos'è metà 100,,,
banco,,Quale scrivania/mobile usa studente (scuola),cos'è gruppo di pesci,,
giocatore,rijkaard,Chi è rijkaard,,,
canzoni,canti,Cosa canti?,,,
medio,terzo dito,Cos'è terzo dito,,,
bocca,labbra,Cosa compongono labbra,,,
quaderno,scrive studente,dove scrive studente,,,
andare,recarsi,Quale sinonimo recarsi,,,
abracadabra,dice mago,Cosa dice mago,,,
tandem,,Quale bici doppia,,,
spezie,pepe paprika,Cosa sono pepe paprika,,,
carrello,moneta supermercato,dove metti moneta supermercato,,,
pepita,pietra oro,Cos'è pietra d'oro,,,
cuori,seme regina,Quale seme (carte) regina,,,
mensa,mangi lavoro,Dove mangi al lavoro,,,
interruttore,spegne accende,cosa spegne accende,,,
ragù,sugo carne,Quale sugo carne,,,
ali,sbatte uccello,Cosa sbatte uccello?,,,
soffice,cuscino morbido,Com'è cuscino morbido,,,
digitale,non analogico,Cos'è non analogico,,,
tavola,mobile cenare/pranzare,Quale mobile per cenare/pranzare,,,
pozzo,,,,,
pasticcini,,,,,
sciroppo,prendi (assumi) tosse,Cosa prendi (assumi) per la tosse,,,
lancette,gira orologio,Cosa gira in orologio,,,
caino,non abele,Chi non è abele,,,
puzzle,,Quale gioco pezzi fotografia,,,
serenata,,Cosa canta sposo (sotto finestra),,,
finto,,,,,
cantina,garage,cos'è non garage,,,
fisica,cosa non è matematica,Cosa non è matematica,matematica fisica,,
macchinetta,caffè monete,Dovre prendi caffè monete,,,
nessuno,non tutti,Cos'è non tutti,,,
ghiacciato,marmato,cos'è marmato sinonimo,,da qui,
panorama,ammiri/ammirare,cosa ammiri dalla vetta/dall'alto,,,
periscopio,,quale binocolo del sottomarino/sommergibile,,,
pagliacci,,cosa sono clown sinonimo,,,
pepe,,cos'è nero non sale zucchero,,,
vivaio,,cos'è allevamento piante,,,
panificio,,quale negozio produce/vende baguette,,,
figlio,,chi è apelle per apollo/Lorenzo per Andrea,,,
partita,,quale competizione la domenica allo stadio,,,
scommessa,puntata,cos'è puntata su partita,,,
chiaro,,cos'è non scuro,,,
giostra,,cos'è tagadà generica,,,
prove,,PASSO,,,
agnello,,cos'è figlio/cucciolo pecora,,,
applausi,,cosa sono per Fibra/cosa sono battiti di mani/cosa sono 92 minuti,,,
stati,,quali uniti americani,,,
camicia,,quale indumento cifrato,,,
sagittario,,quale segno Andrea / Sandro/Samuele,,,
origano,basilico,cos'è non basilico menta,,,
piazza,via,cos'è non via strada,questa uscì anche al provino ormai la sappiamo,,
purè,,cos'è crema di patate,,,
stoviglie,,PASSO,"oppure ""cosa sono piatti bicchieri posate generiche""",,
nazionale,,cosa allena Spalletti,,,
palcoscenico,,dove recitano attori teatro completo,valuterei anche un PASSO,,
mistero,,quale canzone Ruggeri,se non erro ci vinse Sanremo,,
girotondo,,cos'è cerchio di persone,,,
lesso,,cos'è bollito sinonimo,,,
marciapiede,,dove cammini lato strada,già fatta e indovinata così,,
pericolo,,PASSO?,,,
colomba,,quale uccello pacifico / della pace bianco,,,
osservatorio,,PASSO,,,
new york,,quale città con Manhattan / Bronks,,,
carciofo,,Quale verdura alla giudìa?,,,
pila,,Quale fonte portatile energia?,,,
limetta,,Quale piccoletta per unghie?,,,
fisioterapia,,Quale trattamento muscoli?,,,
rivista,,Quale pubblicazione periodica generica?,,,
nacchere,,Cosa suoni nel flamengo?,,,
regali,,Cosa plurale ricevi a natale?,,,
pachiderma,,Quale elefante enorme?,,,
flauto,,Cosa suoni soffiando a scuola?,,,
zerbino,,Quale tappeto ingresso?,,,
preside,,Chi è capo scuola?,,,
ancora,,Cosa cala nave ferma?,,,
lago,,Cos'è bacino idrografico?,,,
coperta,,,,,
menù,,Cos'è elenco pietanze ristorante?,,,
castello,,Dove abita il re?,,,
alberobello,,Dove sono trulli?,,,
remoto,prossimo,cos'è non prossimo,,,
ragno,,Cosa porta guadagno?,,,
baffi,,Cos'è barba su labbro?,,,
fulmine,,Cos'è ne lampo ne tuono?,,,
virtuale,,Com'è realtà digitale?,,,
dare,ricevere,Cos'è non ricevere?,,,
radici,,Cos'è non rami?,rami-radici,,
pinguino,,Quale uccello polare?,,,
nuvole,,,,,
buccia,,Cos'è contorno dell'arancia?,,,
vuoto,,Cos'è non pieno?,,,
parcheggio,,Cos'è posto per auto?,,,
sogno,,Cosa vivi mentre dormi?,,,
reggiseno,,Cosa sostiene petto donne?,,,
terno,,Cos'è ambo +1?,,,
pavimento,,Cos'è con mattonelle?,,,
marionetta,,Quale sinonimo burattino?,,,
impiegato,,Chi non è operaio nè dirigente?,,,
dogana,,Dove dichiari importazioni aeroporto?,,,
periferia,,Cos'è non centro città?,,,
pastelli,,Quale matita di cera?,,,
passeggiata,,Cos'è sinonimo camminata?,,,
lista,,Quale sinonimo elenco? Cos'è del macchinista?,,,
camera,,Dove dormi in casa?,,,
impugnatura,,PASSO?,,,
nespole ,mercole,cos'è mercole,,,
pacchetto,,Cosa compri di sigarette?,,,
amore,odio,cos'è non odio,,,
imbuto,,Quale utensile per travasare?,,,
abbondante,,Cos'è non scarso?,,,
pompieri,,Chi spegne incendi?,,,
moneta,,Cos'è sinonimo valùta?,,,
poker,,Quale gioco in stanzina?,,,
città,,Cos'è abitato urbano?,,,
spicchio,,Cos'è fetta di agrume?,,,
papera,,Cos'è nè anatra nè oca?,,,
brindisi,,Cos'è augurio con calici?,,,
